"","primerid","Pr(>Chisq)","coef","ci.hi","ci.lo","fdr","label"
"13124","MIR3681HG",1,NA,NA,NA,1,FALSE
"13125","MIR378D2HG",1,NA,NA,NA,1,FALSE
"13126","MIR3936HG",1,NA,NA,NA,1,FALSE
"13127","MIR3945HG",0.000370209703803823,0.032244768895784,0.0594681914826469,0.00502134630892107,0.00423642238267518,FALSE
"13128","MIR4422HG",1,NA,NA,NA,1,FALSE
"13129","MIR4435-2HG",2.92436667295049e-07,0.0532160956770674,0.0732135695220546,0.0332186218320801,6.36304957903898e-06,FALSE
"13130","MIR4453HG",0.971141100167573,0.000382772837003761,0.00364940954274033,-0.0028838638687328,1,FALSE
"13131","MIR4458HG",0.273835266530768,0.00432653388291482,0.00977449394885665,-0.00112142618302701,0.851496836669505,FALSE
"13132","MIR497HG",1,NA,NA,NA,1,FALSE
"13133","MIR503HG",1,NA,NA,NA,1,FALSE
"13134","MIR583HG",1,NA,NA,NA,1,FALSE
"13135","MIR600HG",1,NA,NA,NA,1,FALSE
"13136","MIR646HG",0.248841487907109,NA,NA,NA,0.800986885360777,FALSE
"13137","MIR663AHG",1,NA,NA,NA,1,FALSE
"13138","MIR762HG",0.208216380771376,-0.00142093688434683,0.00515546174815823,-0.0079973355168519,0.712828851658765,FALSE
"13139","MIR9-3HG",1,NA,NA,NA,1,FALSE
"13140","MIR924HG",1,NA,NA,NA,1,FALSE
"13141","MIR99AHG",1,NA,NA,NA,1,FALSE
"13142","MIRLET7BHG",1,NA,NA,NA,1,FALSE
"13143","MIS12",0.000182936149127374,0.0213128941962337,0.0318273873730067,0.0107984010194607,0.00226988630471688,FALSE
"13144","MIS18A",0.774259552226313,-0.00027874902611218,0.00614787438034025,-0.00670537243256461,1,FALSE
"13145","MIS18A-AS1",1,NA,NA,NA,1,FALSE
"13146","MIS18BP1",0.000970083507851707,-0.0316027321329241,-0.00560327988569307,-0.0576021843801551,0.00980399608102109,FALSE
"13147","MISP3",0.545166915692965,NA,NA,NA,1,FALSE
"13148","MITD1",0.172444233904693,-0.011599150196925,0.00445720174067083,-0.0276555021345208,0.631810764293841,FALSE
"13149","MITF",0.0621578527198308,-0.00770297695026934,-0.00039340228461557,-0.0150125516159231,0.301444250043792,FALSE
"13150","MIXL1",1,NA,NA,NA,1,FALSE
"13151","MKI67",1,NA,NA,NA,1,FALSE
"13152","MKKS",0.7613347346556,-0.00246147045464975,0.00616326112189536,-0.0110862020311949,1,FALSE
"13153","MKLN1",0.212698856731762,0.000927248795010133,0.0188090973366244,-0.0169545997466041,0.72192935149203,FALSE
"13154","MKLN1-AS",1,NA,NA,NA,1,FALSE
"13155","MKNK1",0.685010780347322,0.00492877730520836,0.0181770737449766,-0.00831951913455987,1,FALSE
"13156","MKNK1-AS1",1,NA,NA,NA,1,FALSE
"13157","MKNK2",4.40927693095725e-05,-0.0380548853976475,-0.0208529443108803,-0.0552568264844148,0.000635253609774146,FALSE
"13158","MKRN1",0.598615478802387,0.00407005937469557,0.0265869973720319,-0.0184468786226408,1,FALSE
"13159","MKRN2",0.96655277085136,-0.00119159990112434,0.00732104549883011,-0.00970424530107879,1,FALSE
"13160","MKRN3",1,NA,NA,NA,1,FALSE
"13161","MKS1",1,NA,NA,NA,1,FALSE
"13162","MLANA",1,NA,NA,NA,1,FALSE
"13163","MLC1",1,NA,NA,NA,1,FALSE
"13164","MLEC",0.0373424488656265,0.016921698691941,0.0339817159078938,-0.000138318524011687,0.202766722728471,FALSE
"13165","MLF1",0.0288279228217662,0.00763098313441006,0.01470600147249,0.000555964796330118,0.163705832894344,FALSE
"13166","MLF2",0.897867993317424,-0.00467009681917861,0.0153374847394628,-0.02467767837782,1,FALSE
"13167","MLH1",0.967338714474571,0.00101494695323082,0.0109002168690173,-0.00887032296255564,1,FALSE
"13168","MLH3",0.00457722323883419,0.017037145429919,0.0280025223158885,0.00607176854394952,0.0364817946974851,FALSE
"13169","MLKL",0.0381563460565095,-0.0140140236518316,-0.0031490492698611,-0.0248789980338022,0.205972348949467,FALSE
"13170","MLLT1",0.997443494234453,-0.000429128030053037,0.00919750909293449,-0.0100557651530406,1,FALSE
"13171","MLLT10",0.428778982950269,-0.00624987199632738,0.00675328984788262,-0.0192530338405374,1,FALSE
"13172","MLLT11",0.244290408542907,-0.0080412038084475,0.00205934631712785,-0.0181417539340228,0.79102316703588,FALSE
"13173","MLLT3",0.0125478587693627,0.0119106374422554,0.020538105312907,0.00328316957160383,0.0843676303613906,FALSE
"13174","MLLT6",4.36837475547272e-07,0.0476859298329192,0.0663079374681159,0.0290639221977226,9.24864797130204e-06,FALSE
