"","primerid","Pr(>Chisq)","coef","ci.hi","ci.lo","fdr","label"
"8200","DNAJC8",0.00356669306700421,-0.0134385098532955,0.0215989130642947,-0.0484759327708858,0.022699377227934,FALSE
"8201","DNAJC9",0.0655489677231948,0.0109792305279745,0.0205363426659546,0.00142211838999443,0.255551742633861,FALSE
"8202","DNAJC9-AS1",1,NA,NA,NA,1,FALSE
"8203","DNAL1",0.791493817354544,0.00202489198976463,0.00821506716673485,-0.00416528318720558,1,FALSE
"8204","DNAL4",0.864990740023649,0.00126298871820575,0.00571419145736918,-0.00318821402095768,1,FALSE
"8205","DNALI1",1,NA,NA,NA,1,FALSE
"8206","DNASE1",0.137142617637472,0.00293098553685058,0.00538882624315966,0.000473144830541492,0.447953128123307,FALSE
"8207","DNASE1L1",0.121369180930116,0.0109620190196721,0.0206671301541492,0.00125690788519491,0.407635031925824,FALSE
"8208","DNASE1L2",1,NA,NA,NA,1,FALSE
"8209","DNASE1L3",0.71286648970876,NA,NA,NA,1,FALSE
"8210","DNASE2",1.77389688468638e-16,0.0576901015950743,0.067972256164441,0.0474079470257077,9.28251769806382e-15,FALSE
"8211","DND1",1,NA,NA,NA,1,FALSE
"8212","DNER",0.128951380005449,NA,NA,NA,0.426677064239732,FALSE
"8213","DNHD1",0.601143851400745,NA,NA,NA,1,FALSE
"8214","DNLZ",0.84613066537624,0.00130207440693894,0.00549745317618963,-0.00289330436231175,1,FALSE
"8215","DNM1",1,NA,NA,NA,1,FALSE
"8216","DNM1L",0.215365790763501,0.009681219633315,0.0271645758871548,-0.00780213662052484,0.630363842462245,FALSE
"8217","DNM1P35",1,NA,NA,NA,1,FALSE
"8218","DNM2",2.45278114425851e-06,-0.0440212012942544,-0.0235323452007722,-0.0645100573877366,3.57754926292296e-05,FALSE
"8219","DNM3",0.664304674392867,NA,NA,NA,1,FALSE
"8220","DNM3-IT1",1,NA,NA,NA,1,FALSE
"8221","DNM3OS",1,NA,NA,NA,1,FALSE
"8222","DNMBP",0.487397501678493,-0.00489301122935285,0.00513117616377625,-0.014917198622482,1,FALSE
"8223","DNMBP-AS1",1,NA,NA,NA,1,FALSE
"8224","DNMT1",0.00212945773821399,0.0221619044315143,0.0355995691861733,0.00872423967685535,0.0146858437507222,FALSE
"8225","DNMT3A",0.466151820859469,-0.00390039686743372,0.00309428780931259,-0.01089508154418,1,FALSE
"8226","DNMT3B",1,NA,NA,NA,1,FALSE
"8227","DNPEP",0.314558536744361,-0.00832644459828838,0.00383715959396201,-0.0204900487905388,0.836922390059711,FALSE
"8228","DNPH1",0.00159427937403776,0.0114915663711412,0.0210727541311549,0.00191037861112755,0.0114262978606636,FALSE
"8229","DNTTIP1",0.0106491202724123,0.020530141896188,0.0343651782253187,0.00669510556705737,0.0572499706758062,FALSE
"8230","DNTTIP2",0.0368141731524858,0.0458842081758148,0.0840488508059511,0.00771956554567855,0.161099064963996,FALSE
"8231","DOC2A",1,NA,NA,NA,1,FALSE
"8232","DOC2B",1,NA,NA,NA,1,FALSE
"8233","DOCK1",1,NA,NA,NA,1,FALSE
"8234","DOCK10",3.55325894042668e-18,-0.0903644072599333,-0.0614757672477491,-0.119253047272118,2.15154904927036e-16,FALSE
"8235","DOCK11",0.125113424482845,-0.0145388220709834,0.00182670619357637,-0.0309043503355432,0.416775983191597,FALSE
"8236","DOCK2",1.24024419833076e-05,0.0418335286301401,0.0581006659624026,0.0255663912978776,0.000156735213447966,FALSE
