p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.9519493743862197,0.749,0.217,0,5,GZMH
0,1.6596773049244802,0.628,0.205,0,5,FGFBP2
0,1.3920716583794264,0.752,0.302,0,5,APOBEC3G
0,1.3112081054976827,0.647,0.249,0,5,KLRD1
0,1.1736248732646952,0.67,0.29,0,5,CST7
0,1.140112297668496,0.82,0.403,0,5,B2M
0,3.0429987362349866,0.769,0.206,0,6,CXCL8
0,2.858679068823487,0.821,0.14,0,6,VCAN
0,2.792664810230322,0.848,0.159,0,6,S100A12
0,2.7369567476084598,0.911,0.263,0,6,FTL
0,2.7154215624574327,0.904,0.274,0,6,CTSS
0,2.5314560016425904,0.801,0.192,0,6,MNDA
0,2.3735868077983646,0.874,0.189,0,6,FCN1
0,2.256723640250322,0.853,0.349,0,6,FTH1
0,2.1530179116524493,0.811,0.194,0,6,AIF1
0,2.145140146863442,0.815,0.304,0,6,NEAT1
0,5.219630652641967,0.929,0.063,0,7,IGKC
0,4.25383193269065,0.963,0.04,0,7,CD79A
0,4.11843140096965,0.882,0.056,0,7,IGHM
0,3.2663719760533145,0.789,0.041,0,7,IGLC2
0,3.2468104181629984,0.975,0.265,0,7,CD74
0,3.234331835693754,0.879,0.047,0,7,MS4A1
0,3.1717081959221836,0.929,0.231,0,7,HLA-DRA
0,3.1218917290305117,0.839,0.062,0,7,IGHD
0,2.4479738701261216,0.915,0.26,0,7,HLA-DPB1
0,2.346356142821926,0.854,0.256,0,7,HLA-DRB1
0,1.8917829798323467,0.847,0.323,0,8,LTB
0,1.5844939175116755,0.89,0.439,0,8,RPS12
0,1.5786212981415204,0.799,0.322,0,8,IL7R
0,1.4247609392202587,0.904,0.439,0,8,RPL13
0,1.4178849964321512,0.874,0.479,0,8,RPS27
0,1.4037764873080976,0.887,0.445,0,8,RPS18
0,1.3412441779623496,0.626,0.164,0,8,MAL
0,1.3111064162487953,0.869,0.444,0,8,RPL34
0,1.2918135096392458,0.865,0.438,0,8,RPS8
0,1.2915270172102626,0.88,0.466,0,8,RPS29
0,2.332785193691218,0.697,0.213,0,9,CXCL8
0,2.0824469642666292,0.628,0.178,0,9,THBS1
0,1.7874717877820672,0.742,0.311,0,9,NEAT1
0,1.594142520134477,0.577,0.198,0,9,CCL3L1
0,1.5029045488321062,0.568,0.231,0,9,LYZ
0,1.2694264258414576,0.594,0.196,0,9,IL1B
0,1.2678874272691516,0.549,0.195,0,9,CCL3
0,1.2641775378155982,0.581,0.233,0,9,SOD2
0,1.2315088679527215,0.598,0.193,0,9,CYP1B1
0,1.1626006878562094,0.501,0.184,0,9,CCL4L2
0,1.7993531358186179,0.795,0.153,0,10,GZMK
0,1.2478755422937655,0.489,0.238,0,10,KLRB1
0,1.2274615507807722,0.598,0.232,0,10,CD8A
0,1.153420490073586,0.671,0.27,0,10,ALOX5AP
0,1.0786247833322518,0.68,0.318,0,10,CREM
0,1.0482940094154662,0.598,0.18,0,10,CAMK2N1
0,1.0377356417883203,0.832,0.458,0,10,RPLP1
4.242637126616354e-285,1.3712892932873584,0.574,0.395,1.2727911379849062e-281,10,VIM
3.986694450562978e-259,0.9708251516919425,0.527,0.202,1.1960083351688934e-255,10,CD8B
3.654110859599756e-71,1.1055736543581154,0.479,0.302,1.0962332578799268e-67,10,MT2A
0,2.6735738661002832,0.824,0.299,0,11,CCL5
0,1.8849085731635447,0.795,0.294,0,11,NKG7
0,1.8743207224637408,0.824,0.22,0,11,CD8A
0,1.7256252924382869,0.701,0.225,0,11,GZMH
0,1.4992475817999458,0.755,0.19,0,11,CD8B
0,1.4652870653323262,0.757,0.223,0,11,CMC1
0,1.3717077247562357,0.764,0.306,0,11,APOBEC3G
0,1.2944058319486305,0.561,0.213,0,11,FGFBP2
0,1.2391382371496251,0.725,0.291,0,11,CST7
0,1.2383034538657147,0.766,0.322,0,11,CD3G
0,2.8636707999783013,0.905,0.299,0,12,CCL5
0,2.283053418066707,0.858,0.294,0,12,NKG7
0,1.9288144204976698,0.747,0.226,0,12,GZMH
0,1.8092024923398498,0.653,0.211,0,12,FGFBP2
0,1.656206065559997,0.49,0.235,0,12,GNLY
