Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
AOPEP	0.00669995577716377	0.02699636171688481	0.007	0.003	1	FALSE	Other	-0
SHTN1	0.00670806322576591	-0.02756167994194858	0.196	0.223	1	FALSE	Other	-0
GJA3	0.00670936481232912	-0.02607376886909859	0.006	0.011	1	FALSE	Other	-0
LRRC45	0.00672213152439705	0.0234167848478109	0.007	0.003	1	FALSE	Other	-0
EBLN3P	0.00673279215456446	-0.01879906388229052	0.108	0.128	1	FALSE	Other	-0
HAUS4	0.00674511063789285	0.08939711468125566	0.101	0.085	1	FALSE	Other	-0
AC137834.2	0.00674525426116082	-0.01289782478345844	0	0.002	1	FALSE	Other	-0
RSF1-IT1	0.00676058058606998	-0.00763398141055038	0	0.002	1	FALSE	Other	-0
PWP2	0.00676058058606998	-0.00786174275569723	0	0.002	1	FALSE	Other	-0
AC114271.1	0.00676313801425531	-0.0053788526740878	0	0.002	1	FALSE	Other	-0
B4GALT2	0.00677337642406908	-0.00559836206650578	0	0.002	1	FALSE	Other	-0
SERF1A	0.00677337642406908	-0.0063086781902327	0	0.002	1	FALSE	Other	-0
ETV3L	0.00677832284435896	-0.01960521893073707	0.008	0.013	1	FALSE	Other	-0
PAN3	0.00681085325188045	-0.00225163648825676	0.104	0.124	1	FALSE	Other	-0
CERS5	0.00681307163198945	0.01692439528760622	0.054	0.068	1	FALSE	Other	-0
ZFYVE27	0.00681468103645001	-0.01978772218025576	0.025	0.034	1	FALSE	Other	-0
RTEL1	0.00682265038011334	0.01600113387358195	0.006	0.002	1	FALSE	Other	-0
IRF2	0.00687302025171764	-0.02442294724722227	0.174	0.2	1	FALSE	Other	-0
UBE2E3	0.00687952492109245	-0.02588240451958323	0.175	0.2	1	FALSE	Other	-0
PIGW	0.00689558141295905	-0.02364697265360919	0.007	0.013	1	FALSE	Other	-0
HAUS5	0.00691092992292706	0.02088897517064133	0.006	0.002	1	FALSE	Other	-0
NHLRC2	0.00691189790082437	-0.00205554355944588	0.02	0.029	1	FALSE	Other	-0
CDC42	0.00691525158181523	0.06161614937300008	0.868	0.89	1	FALSE	Other	-0
FAAP100	0.00691601246410157	0.04737212232981157	0.026	0.018	1	FALSE	Other	-0
AC003681.1	0.00692062285405729	-0.03887386938672477	0.076	0.092	1	FALSE	Other	-0
GTPBP3	0.00693690507700105	0.0312993473527844	0.012	0.007	1	FALSE	Other	-0
EPHB6	0.00693800694496041	0.05077613938720288	0.023	0.015	1	FALSE	Other	-0
CYP2S1	0.00694381543428867	0.03872416179972189	0.017	0.01	1	FALSE	Other	-0
PLK2	0.00697455004703852	0.03647766881588277	0.064	0.051	1	FALSE	Other	-0
TTC32	0.00698507561772327	-0.03389446111574529	0.068	0.083	1	FALSE	Other	-0
ICA1L	0.00699768165208599	0.03702287187407575	0.016	0.01	1	FALSE	Other	-0
SUN2	0.00700348049706371	0.11383424506929618	0.173	0.155	1	FALSE	Other	-0
PXMP2	0.00700669230136748	0.03336251548493395	0.011	0.006	1	FALSE	Other	-0
CTBS	0.00702473557179014	-0.04925207633447193	0.21	0.237	1	FALSE	Other	-0
RASA4	0.00702892105396296	0.05089882813269063	0.027	0.018	1	FALSE	Other	-0
OSBPL9	0.00703109173176991	0.11662423668098842	0.094	0.079	1	FALSE	Other	-0
POMGNT2	0.00703211142085412	-0.01390807112762045	0.003	0.007	1	FALSE	Other	-0
MSH3	0.00704500603342544	0.07517793018938213	0.048	0.037	1	FALSE	Other	-0
AKIP1	0.00706347062264274	0.04879949419950423	0.026	0.017	1	FALSE	Other	-0
UQCC2	0.00707432721663888	0.100624526124161	0.098	0.083	1	FALSE	Other	-0
GET4	0.00707787138067701	-0.00941438900452222	0.003	0.007	1	FALSE	Other	-0
AREG	0.00709159214633461	-0.05373436286498734	0.067	0.053	1	FALSE	Other	-0
FAM200A	0.00709709273231325	-0.01478788190814326	0.006	0.011	1	FALSE	Other	-0
STAT3	0.00713812183273039	0.03761492333563754	0.225	0.258	1	FALSE	Other	-0
AL161891.1	0.00714132796150149	0.00823258160168729	0.002	0	1	FALSE	Other	-0
DLX2	0.00714132796150149	0.00743595467099005	0.002	0	1	FALSE	Other	-0
SYN2	0.00714132796150149	0.00898376827721824	0.002	0	1	FALSE	Other	-0
WDR17	0.00714132796150149	0.01210261244212276	0.002	0	1	FALSE	Other	-0
FFAR3	0.00714132796150149	0.01145674770341399	0.002	0	1	FALSE	Other	-0
ZNF593	0.00714453132614297	0.1093546357231237	0.086	0.071	1	FALSE	Other	-0
HINT1	0.00714548960224639	0.1170176953910742	0.604	0.611	1	FALSE	Other	-0
SREK1	0.00715470505012877	0.00915400267370492	0.285	0.321	1	FALSE	Other	-0
TMEM62	0.00716829384075405	0.03865433566573519	0.015	0.008	1	FALSE	Other	-0
SHLD2	0.00717278359246013	-0.02617942910079268	0.09	0.107	1	FALSE	Other	-0
AL136295.2	0.00718697424226195	-0.00813077900284603	0.002	0.006	1	FALSE	Other	-0
DIXDC1	0.00719567068254956	-0.05332297606872471	0.014	0.022	1	FALSE	Other	-0
ZNRD1	0.00720132546725191	-0.00228198557261838	0.104	0.124	1	FALSE	Other	-0
REPS1	0.0072057545071483	-0.03124906273295041	0.057	0.071	1	FALSE	Other	-0
DHDDS	0.00720721708555949	0.01355821961370948	0.046	0.059	1	FALSE	Other	-0
USP40	0.00721406544332901	0.03155499020338039	0.01	0.005	1	FALSE	Other	-0
