"","primerid","Pr(>Chisq)","coef","ci.hi","ci.lo","fdr","label"
"120","DUT",0.426110003263703,0.0326762296648077,0.147987535345007,-0.0826350760153919,0.714184371667333,FALSE
"121","EEA1",0.893398895055326,-0.0186702665358404,0.087347285174077,-0.124687818245758,0.95135989719538,FALSE
"122","EIF2AK2",0.0715918595745385,-0.164624501944669,-0.0265522950444906,-0.302696708844848,0.246810593045835,FALSE
"123","EIF5B",0.0984834777944045,0.218723061446595,0.425438472998599,0.0120076498945901,0.304403476819068,FALSE
"124","ELOVL5",0.0887942276202682,0.113960821426995,0.254681279761407,-0.0267596369074163,0.291490016187915,FALSE
"125","EMB",0.198884103175634,0.0789447014331007,0.263386592543166,-0.105497189676964,0.464062907409812,FALSE
"126","EMC10",0.770364889009638,0.01390827401444,0.120436167373155,-0.0926196193442745,0.885733543885478,FALSE
"127","EOMES",0.50437808635587,-0.0806955259815639,0.0450081238597411,-0.206399175822869,0.763458352389165,FALSE
"128","EPSTI1",0.828262344216302,-0.0061393639100597,0.136265141894269,-0.148543869714388,0.926645631141786,FALSE
"129","ESF1",0.606793396368102,0.0420622976049253,0.175028772490632,-0.0909041772807818,0.811330496267462,FALSE
"130","EZR",2.59583994171239e-06,0.43973641684523,0.667258848447607,0.212213985242854,6.17809906127548e-05,TRUE
"131","FAM102A",0.0243959027124044,-0.142276332397062,-0.0643319131640472,-0.220220751630077,0.119912275372766,FALSE
"132","FAM107B",0.343623445514242,0.00288881560683985,0.231616656731016,-0.225839025517336,0.624292977346486,FALSE
"133","FAM133B",0.256535810095725,-0.148417694626516,0.0440943912494153,-0.340929780502446,0.538590862191201,FALSE
"134","FCER1G",0.434702027088361,-0.0616002402510896,0.152679129752238,-0.275879610254417,0.718433677137311,FALSE
"135","FCGR3B",2.71312917909587e-09,NA,NA,NA,1.29144948924963e-07,FALSE
"136","FEZ1",0.000125190129018491,0.404347215069787,0.610139067578226,0.198555362561348,0.00186220316915006,TRUE
"137","FGFBP2",1.89430276765511e-06,-0.654181700980117,-0.408152183064817,-0.900211218895416,4.74572693370437e-05,TRUE
"138","FOS",0.328703304711998,-0.0741145078078621,0.200485800220704,-0.348714815836429,0.610798510115145,FALSE
"139","FOSB",0.0956947106924112,-0.0272362301315317,0.141281211540568,-0.195753671803632,0.299675541378867,FALSE
"140","FOXP1",0.700622407990485,-0.0553523878446068,0.128832845016422,-0.239537620705636,0.858030644070579,FALSE
"141","FRYL",0.800787744423945,-0.0399773534865924,0.0871767369302226,-0.167131443903407,0.909725456672548,FALSE
"142","FTH1",0.0133377481985125,0.188080369462241,0.359018849987195,0.0171418889372876,0.0803641537024298,FALSE
"143","FTX",0.0143610061994924,-0.147860868616641,-0.0756599458221178,-0.220061791411165,0.0843930734686217,FALSE
"144","FYB1",0.00394374142282299,-0.317756473998625,-0.153887186153846,-0.481625761843403,0.034201380351796,TRUE
"145","GABPB1-AS1",0.514231563621577,0.027906412253322,0.167316802133965,-0.111503977627321,0.769180181956209,FALSE
"146","GADD45B",0.127243792081565,0.00999561439871932,0.21177415353646,-0.191782924739022,0.358390798998964,FALSE
