Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
BASP1	2.1101421714636614e-28	-0.407304515360273	0.75	0.887	7.698853712585167e-24	TRUE	Other	23.11357393240647
ITM2B	2.1646567466190967e-28	0.4595289586842703	0.693	0.564	7.897750140039774e-24	TRUE	Other	23.10249661009282
THBS1	3.7227932944880733e-28	0.3206646031068061	0.789	0.623	1.3582611334939736e-23	TRUE	Other	22.86701672642295
PTGS2	4.15462381458977e-28	-0.6581410044773328	0.81	0.876	1.5158144987530774e-23	TRUE	Other	22.819353943227192
VIM	4.339384391126974e-28	0.2375324173964044	1	0.999	1.5832243951026762e-23	FALSE	Other	22.800457526926436
CCL20	4.680234930720472e-28	-0.8052468074651813	0.691	0.765	1.707583714473364e-23	TRUE	Other	22.767617995791305
HLA-B	7.830224653154115e-28	0.21662405073549615	0.993	0.989	2.856857464703279e-23	FALSE	Other	22.544111427043592
RAB13	8.041273361256104e-28	-0.47790173758478166	0.098	0.226	2.9338585858542896e-23	TRUE	Other	22.532560823302298
UBC	1.0626553430772694e-27	0.28673114865385463	0.968	0.945	3.8770980192174175e-23	TRUE	Other	22.411493219197297
TXNRD1	1.5635361316824996e-27	-0.5400486229833001	0.326	0.478	5.704561576443599e-23	TRUE	Other	22.243777727625762
IFITM3	1.6335773038760748e-27	0.7067264403561307	0.226	0.102	5.960106793191859e-23	TRUE	Other	22.22474595850164
EEF1G	1.7412181251214853e-27	0.44380108549451114	0.81	0.753	6.352834329505739e-23	TRUE	Other	22.19703247013611
DOCK4	3.4422726369575874e-27	-0.4915201587371002	0.201	0.347	1.2559131715939757e-22	TRUE	Other	21.901040384803522
CYTOR	9.599570461214566e-27	0.43808631205835935	0.695	0.58	3.5024032827741343e-22	TRUE	Other	21.455633848715266
ATP1B3	1.142752660232763e-26	-0.4191290558127656	0.42	0.574	4.169333080859236e-22	TRUE	Other	21.37993340844748
SEC31A	1.2738985953422368e-26	-0.3804908187753113	0.191	0.346	4.6478190251061505e-22	TRUE	Other	21.332750790671064
CD44	1.999789317560735e-26	-0.2889518304417127	0.96	0.973	7.2962313251203425e-22	TRUE	Other	21.13690140526754
SLC6A6	2.1459081621292368e-26	-0.4226521242523691	0.316	0.473	7.82934592952852e-22	TRUE	Other	21.10627451777111
ACTB	2.521472120626431e-26	0.3249295744205365	0.9	0.875	9.199591032105532e-22	TRUE	Other	21.03623147879006
RACK1	3.183059132605555e-26	0.28342678310314806	0.954	0.938	1.1613391245311368e-21	TRUE	Other	20.935040942701793
LITAF	3.9261204541408825e-26	-0.5874849922935175	0.346	0.494	1.432445047693301e-21	TRUE	Other	20.843922029703563
ARFGAP3	7.765026045557813e-26	-0.4517294707018551	0.689	0.78	2.8330697527217677e-21	TRUE	Other	20.547742732627732
IVNS1ABP	8.285821323557943e-26	-0.7407801121978215	0.306	0.454	3.0230819099001158e-21	TRUE	Other	20.519550085526216
KDELR2	1.0652156656341453e-25	-0.4003459771309603	0.288	0.442	3.886439356066179e-21	TRUE	Other	20.410448104629356
NACA	1.1154359305957326e-25	0.2520900825037309	0.982	0.97	4.069667992778531e-21	TRUE	Other	20.390441019469034
ZFYVE16	1.1567478438215386e-25	-0.4464373138396549	0.493	0.637	4.220394508182883e-21	TRUE	Other	20.37464695076372
SNHG6	1.30822340963221e-25	0.5408156934751469	0.62	0.49	4.773053110043118e-21	TRUE	Other	20.32120373318659
SRP14	1.6046468080466246e-25	0.40073827051196487	0.787	0.717	5.85455387915811e-21	TRUE	Other	20.23250619285491
TFEC	1.675933904685805e-25	-0.4699615292325851	0.107	0.23	6.1146448512461575e-21	TRUE	Other	20.21362876244179
KYNU	1.743597803872175e-25	-0.3875673882204951	0.669	0.773	6.3615165874276306e-21	TRUE	Other	20.19643933607576
PSME1	2.7909859504553963e-25	0.5577320547134139	0.56	0.443	1.0182912240236512e-20	TRUE	Other	19.99212799911224
ACSL5	5.333002622730536e-25	-0.4042984247443532	0.146	0.281	1.945746006903236e-20	TRUE	Other	19.710913852145627
DYNLL1	8.5395867393461e-25	-0.44021440710267656	0.164	0.308	3.115668221850424e-20	TRUE	Other	19.506448795252084
GPR183	8.857621464211431e-25	0.6488305925532609	0.425	0.285	3.2317031912175404e-20	TRUE	Other	19.49056853290228
SSR1	9.184007422540458e-25	-0.3622492159402755	0.203	0.357	3.350785108113886e-20	TRUE	Other	19.47485342335926
COX7C	1.2524515822906091e-24	0.38935911699517733	0.772	0.68	4.569569597987288e-20	TRUE	Other	19.34012470365483
FCGR1A	4.2343109342978346e-24	0.3523453957219851	0.135	0.043	1.5448883443785652e-19	TRUE	Other	18.811102903405853
HLA-DMA	6.5367156436701105e-24	0.49757660516352065	0.288	0.156	2.38492070259304e-19	TRUE	Other	18.622526056455648
IL23A	7.711404315549573e-24	-1.1725716257747552	0.052	0.147	2.8135058645282617e-19	TRUE	Other	18.550752175256886
GFPT1	1.0038943719584917e-23	-0.36503481397179816	0.111	0.234	3.662708616090558e-19	TRUE	Other	18.436197629917903
ACSL1	1.5382318591093828e-23	-0.4487888466243781	0.606	0.751	5.612238937960583e-19	TRUE	Other	18.250863847403334
HM13	1.9434008259510698e-23	-0.4351243080686395	0.311	0.454	7.090497913482479e-19	TRUE	Other	18.149323266441023
RBM47	2.2427185109709e-23	-0.48902395429019574	0.26	0.404	8.182558487277328e-19	TRUE	Other	18.08711088175952
