Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene_class	-log10_p_val
HIST1H1C	0.13231343343988747	0.06433124679931579	0.462	0.385	1	Other	-0
IGKC	0.13240818017530248	-0.4527284163295301	0.008	0.02	1	Other	-0
ARHGAP9	0.1325571460136395	-0.3250664937053751	0.032	0.054	1	Other	-0
AGPS	0.13259547702254748	-0.04675222194865299	0.027	0.007	1	Other	-0
AC142472.1	0.13266537715186646	-2.3776822149967555e-4	0.004	0.014	1	Other	-0
C19orf12	0.13266537715186646	-0.00395665664949562	0.004	0.014	1	Other	-0
MPHOSPH8	0.13282018948476787	-0.3099227442855877	0.081	0.115	1	Other	-0
ADORA2A	0.1328270324359366	-0.04173001284842659	0.47	0.392	1	Other	-0
MRPL3	0.13292898439270096	0.05658118233858095	0.037	0.014	1	Other	-0
RNF26	0.13297944449120036	-0.01449701624468598	0.004	0.014	1	Other	-0
SNX22	0.13297944449120036	-0.01340882326530149	0.004	0.014	1	Other	-0
AP002784.1	0.13329408711733165	-0.00989061188225797	0.004	0.014	1	Other	-0
TELO2	0.13329408711733165	-0.01532684764456283	0.004	0.014	1	Other	-0
AP000919.2	0.13329408711733165	-6.192016343695636e-4	0.004	0.014	1	Other	-0
ANAPC15	0.13337084409702188	-0.07535445379010136	0.109	0.068	1	Other	-0
VTI1B	0.13354070132955778	0.11859509196020944	0.096	0.061	1	Other	-0
SLC25A16	0.13358219077464012	-0.10713157841196289	0.008	0.02	1	Other	-0
PYCR3	0.13360930561636356	-0.00844362474453726	0.004	0.014	1	Other	-0
AC073332.1	0.13372774190696027	-0.038251898994956	0.021	0.041	1	Other	-0
PTGR1	0.133734104448485	0.05950875080175166	0.027	0.007	1	Other	-0
PSMD5	0.13377531396202905	0.08428274423388679	0.037	0.014	1	Other	-0
LINC01852	0.1339251005737615	-4.92253592478141e-4	0.004	0.014	1	Other	-0
PAPSS2	0.1340196260474764	0.0625015474698857	0.027	0.007	1	Other	-0
KCNK6	0.13405404399862472	-0.10344549783230964	0.008	0.02	1	Other	-0
METTL8	0.13429045351101787	-0.03510719083110106	0.008	0.02	1	Other	-0
UBP1	0.1345759829360912	-0.13378160041496212	0.053	0.081	1	Other	-0
ZFYVE26	0.13476423955310715	-0.4451941550588494	0.008	0.02	1	Other	-0
AATK	0.13476423955310715	-0.0778760751725792	0.008	0.02	1	Other	-0
ZKSCAN2-DT	0.13480809115603035	-0.02847382242047771	0.026	0.047	1	Other	-0
MBD6	0.13492277826828372	-0.13841369219793398	0.083	0.047	1	Other	-0
CXXC1	0.13500161656879706	-0.1889864496097586	0.008	0.02	1	Other	-0
SERPINE2	0.13502266560940554	0.1488381782599128	0.027	0.007	1	Other	-0
C12orf10	0.1351873629612826	0.03581815605775682	0.111	0.068	1	Other	-0
GYG1	0.13522408844926467	0.06799195763420803	0.037	0.014	1	Other	-0
KLHL7	0.13523038333575874	-0.07430505062203008	0.056	0.027	1	Other	-0
TAF10	0.13530743150737262	0.01963621476429689	0.364	0.297	1	Other	-0
PWWP2A	0.13531459430887266	-0.20483675596084017	0.074	0.108	1	Other	-0
PDE4A	0.13547259457971927	4.089388622332546e-4	0.211	0.155	1	Other	-0
HS3ST2	0.1354773398029237	-0.03395070703060113	0.008	0.02	1	Other	-0
ALDH3B1	0.13548047354205542	0.04403430648730002	0.037	0.014	1	Other	-0
NIP7	0.13575112090561897	0.04922036670621382	0.057	0.027	1	Other	-0
PDE4D	0.13576467862940128	-0.57294582619469	0.16	0.203	1	Other	-0
NCOA7	0.13590772582799002	-0.0411877554908565	0.026	0.047	1	Other	-0
SPRED1	0.1359369990085527	0.05945206667481762	0.046	0.02	1	Other	-0
KDELR2	0.13618947645993162	0.0255622707997839	0.326	0.257	1	Other	-0
SLC30A9	0.13619611665839862	-0.06752939710557623	0.048	0.02	1	Other	-0
