Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene_class	-log10_p_val
DYRK3	0.3578074199262946	0.02709848109907432	0.02	0.009	1	Other	-0
MOGAT1	0.3578074199262946	-8.904013382376175e-4	0.02	0.009	1	Other	-0
NSD2	0.3578074199262946	0.02224296800069218	0.02	0.009	1	Other	-0
C5orf56	0.3578074199262946	0.02815082016279711	0.02	0.009	1	Other	-0
GPNMB	0.3578074199262946	0.02946868310745689	0.02	0.009	1	Other	-0
AC073320.1	0.3578074199262946	0.02711627092113647	0.02	0.009	1	Other	-0
REPIN1	0.3578074199262946	0.02616773944974177	0.02	0.009	1	Other	-0
FOLR3	0.3578074199262946	0.03008840696675971	0.02	0.009	1	Other	-0
NUP107	0.3578074199262946	0.04032668395369845	0.02	0.009	1	Other	-0
TRIAP1	0.3578074199262946	0.02566709811521655	0.02	0.009	1	Other	-0
CFL2	0.3578074199262946	0.00574068678079889	0.02	0.009	1	Other	-0
RECQL5	0.3578074199262946	0.12716571091178308	0.02	0.009	1	Other	-0
ZNF585A	0.3578074199262946	0.02059201293131048	0.02	0.009	1	Other	-0
ZNF552	0.3578074199262946	0.0252369286798734	0.02	0.009	1	Other	-0
GNA12	0.3578929824666658	0.0724611106153612	0.374	0.329	1	Other	-0
FRYL	0.3579506495780346	-0.09928147341752844	0.061	0.083	1	Other	-0
SLC8B1	0.3580747040768375	-0.04189605306749598	0.025	0.042	1	Other	-0
HNRNPA1P48	0.35842916758238813	0.03199320284846391	0.086	0.06	1	Other	-0
ACBD3	0.35848402342137703	0.04126720849712684	0.49	0.431	1	Other	-0
MRPS6	0.35859780494069393	-0.09645712836531936	0.066	0.088	1	Other	-0
NCBP3	0.35868070481970105	-0.1220842018045826	0.071	0.093	1	Other	-0
DDX58	0.3587146861497966	-0.10983303579681825	0.172	0.204	1	Other	-0
SLC25A37	0.3588471229725758	0.07768044699474519	0.697	0.676	1	Other	-0
TMEM51	0.3590212623045044	-0.02933675588572691	0.005	0.014	1	Other	-0
LINC00339	0.3590212623045044	-0.0302255958887326	0.005	0.014	1	Other	-0
FUCA1	0.3590212623045044	-0.02600416848389208	0.005	0.014	1	Other	-0
MIGA1	0.3590212623045044	-0.02205324845766216	0.005	0.014	1	Other	-0
POLR3GL	0.3590212623045044	-0.04298534097163749	0.005	0.014	1	Other	-0
XCL2	0.3590212623045044	-0.04450836667949819	0.005	0.014	1	Other	-0
RASAL2	0.3590212623045044	-0.04548856344336227	0.005	0.014	1	Other	-0
FAM72A	0.3590212623045044	-0.02792566904438362	0.005	0.014	1	Other	-0
EPHX1	0.3590212623045044	-0.03826990618750387	0.005	0.014	1	Other	-0
HEATR5B	0.3590212623045044	-0.02500951954593134	0.005	0.014	1	Other	-0
WDPCP	0.3590212623045044	-0.01926503956911406	0.005	0.014	1	Other	-0
MRPL35	0.3590212623045044	-0.03167298055201665	0.005	0.014	1	Other	-0
RUFY4	0.3590212623045044	-0.03195977666079689	0.005	0.014	1	Other	-0
TRAT1	0.3590212623045044	-0.03474832264551587	0.005	0.014	1	Other	-0
SLC2A9	0.3590212623045044	-0.02378661659070077	0.005	0.014	1	Other	-0
THAP9	0.3590212623045044	-0.02840759732051239	0.005	0.014	1	Other	-0
PXDC1	0.3590212623045044	-0.03817975236404351	0.005	0.014	1	Other	-0
AL031123.1	0.3590212623045044	-0.04980922228304154	0.005	0.014	1	Other	-0
HIST1H3H	0.3590212623045044	-0.03527039268564097	0.005	0.014	1	Other	-0
BAK1	0.3590212623045044	-0.03158484905122463	0.005	0.014	1	Other	-0
TMEM217	0.3590212623045044	-0.03300434895173842	0.005	0.014	1	Other	-0
PTCRA	0.3590212623045044	-0.02477194163488947	0.005	0.014	1	Other	-0
RNF217	0.3590212623045044	-0.04750789178943834	0.005	0.014	1	Other	-0
AL139393.3	0.3590212623045044	-0.04509513772175341	0.005	0.014	1	Other	-0
STEAP1B	0.3590212623045044	-0.02039571762615326	0.005	0.014	1	Other	-0
YAE1	0.3590212623045044	-0.02292403389045355	0.005	0.014	1	Other	-0
AC072061.1	0.3590212623045044	-0.03558253766803543	0.005	0.014	1	Other	-0
AC008267.5	0.3590212623045044	-0.02970556885882988	0.005	0.014	1	Other	-0
SERPINE1	0.3590212623045044	-0.03522577590873046	0.005	0.014	1	Other	-0
CA3-AS1	0.3590212623045044	-0.02884658467896014	0.005	0.014	1	Other	-0
ZNF707	0.3590212623045044	-0.02056742380424852	0.005	0.014	1	Other	-0
GALT	0.3590212623045044	-0.04086297519737053	0.005	0.014	1	Other	-0
AL512625.3	0.3590212623045044	-0.02685577864778215	0.005	0.014	1	Other	-0
MARCH8	0.3590212623045044	-0.03274825917654409	0.005	0.014	1	Other	-0
POLR3A	0.3590212623045044	-0.02262166916749775	0.005	0.014	1	Other	-0
PDCD11	0.3590212623045044	-0.02305171252855362	0.005	0.014	1	Other	-0
AL592071.1	0.3590212623045044	-0.03049050239086054	0.005	0.014	1	Other	-0
C11orf74	0.3590212623045044	-0.04729110647997579	0.005	0.014	1	Other	-0
CEP295	0.3590212623045044	-0.02398795569194121	0.005	0.014	1	Other	-0
C12orf4	0.3590212623045044	-0.03443898348659255	0.005	0.014	1	Other	-0
AC016957.2	0.3590212623045044	-0.03180076895506704	0.005	0.014	1	Other	-0
RBMS2	0.3590212623045044	-0.02465385226267995	0.005	0.014	1	Other	-0
CDK8	0.3590212623045044	-0.02766655630355069	0.005	0.014	1	Other	-0
TUBGCP3	0.3590212623045044	-0.03766113603310626	0.005	0.014	1	Other	-0
FRMD6-AS1	0.3590212623045044	-0.03268971760419556	0.005	0.014	1	Other	-0
AC007686.3	0.3590212623045044	-0.12908562391552147	0.005	0.014	1	Other	-0
UBR1	0.3590212623045044	-0.02713826656014872	0.005	0.014	1	Other	-0
KIFC3	0.3590212623045044	-0.0491910273296688	0.005	0.014	1	Other	-0
ZFP90	0.3590212623045044	-0.02845598084980545	0.005	0.014	1	Other	-0
NQO1	0.3590212623045044	-0.03228192145781421	0.005	0.014	1	Other	-0
JUP	0.3590212623045044	-0.02640715672694294	0.005	0.014	1	Other	-0
TMC8	0.3590212623045044	-0.02667559523714006	0.005	0.014	1	Other	-0
AP001033.2	0.3590212623045044	-0.02821048932393517	0.005	0.014	1	Other	-0
MVB12A	0.3590212623045044	-0.03327283570861764	0.005	0.014	1	Other	-0
