Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
AC005838.2	3.730560049839621e-4	-0.05300089160522386	0.019	0.034	1	FALSE	Other	-0
MARK2	3.7327458104633105e-4	-0.10290820907020888	0.062	0.087	1	FALSE	Other	-0
PNRC2	3.736811456002967e-4	-0.10206421914672914	0.446	0.485	1	FALSE	Other	-0
PLOD3	3.765162204449032e-4	-0.02998391461633853	0.007	0.018	1	FALSE	Other	-0
CYP1B1-AS1	3.7718734892864457e-4	0.07252905362322423	0.031	0.015	1	FALSE	Other	-0
XPO1	3.802547173101515e-4	-0.02127153077724175	0.054	0.078	1	FALSE	Other	-0
SNAI1	3.811190703609395e-4	0.04230281173055099	0.028	0.013	1	FALSE	Other	-0
INF2	3.811796449958868e-4	-0.06081784129582995	0.031	0.05	1	FALSE	Other	-0
WDR37	3.828028436117715e-4	0.09612430607524831	0.067	0.044	1	FALSE	Other	-0
YJU2	3.841435244183294e-4	0.07554213045306238	0.047	0.027	1	FALSE	Other	-0
SNAP29	3.8650738232038294e-4	-0.08521849932215772	0.053	0.077	1	FALSE	Other	-0
ELK4	3.8688443106480656e-4	-0.05930372092162223	0.07	0.097	1	FALSE	Other	-0
ILF2	3.884507408863146e-4	-0.15047889417362548	0.315	0.354	1	FALSE	Other	-0
MPC2	3.889813591973756e-4	0.09693138223120612	0.135	0.101	1	FALSE	Other	-0
TIMM21	3.892619092992948e-4	0.10769367215738392	0.018	0.007	1	FALSE	Other	-0
SF3B6	3.9068421555875783e-4	-0.09799801758995574	0.238	0.28	1	FALSE	Other	-0
TUBA1B	3.910945272253712e-4	0.12456710598995135	0.209	0.168	1	FALSE	Other	-0
ZNF292	3.913175667794392e-4	0.00859902610456553	0.079	0.109	1	FALSE	Other	-0
TBC1D2B	3.922635765900772e-4	-0.04806806327668977	0.025	0.043	1	FALSE	Other	-0
SULF2	3.9409680857552433e-4	0.0811548669812247	0.032	0.016	1	FALSE	Other	-0
AC110995.1	3.9451633287750906e-4	0.048999105023759273	0.013	0.004	1	FALSE	Other	-0
ATP8B4	3.965773036615906e-4	0.05630864881409088	0.03	0.015	1	FALSE	Other	-0
ACOX1	3.997770963400806e-4	-0.02652048116214578	0.013	0.026	1	FALSE	Other	-0
LINC00623	4.013078127168582e-4	-0.07961176827032829	0.047	0.069	1	FALSE	Other	-0
ZFP91	4.023563801344569e-4	0.10823471640200856	0.316	0.266	1	FALSE	Other	-0
E4F1	4.092828483016893e-4	-0.04286047530310977	0.01	0.022	1	FALSE	Other	-0
RGP1	4.13346280246176e-4	-0.04214141874714022	0.007	0.017	1	FALSE	Other	-0
SUPT5H	4.1825510985572166e-4	-0.06665074746786781	0.11	0.143	1	FALSE	Other	-0
GON4L	4.200955598755836e-4	0.01004426623418552	0.072	0.101	1	FALSE	Other	-0
