Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
ST8SIA4	0.00896483514211654	0.02757413285834498	0.227	0.193	1	FALSE	Other	-0
MSI2	0.00896572340720367	-0.0963987346749658	0.03	0.043	1	FALSE	Other	-0
DHX57	0.00897382826418392	-0.08942880838743517	0.024	0.036	1	FALSE	Other	-0
KLRC3	0.00899313842816901	-0.08789915874464546	0.017	0.027	1	FALSE	Other	-0
STRN	0.00900472822101969	-0.09616721060351184	0.036	0.05	1	FALSE	Other	-0
ZC3H8	0.00900843805572146	-0.12725106870475789	0.042	0.057	1	FALSE	Other	-0
ZNF518B	0.00901306718311128	-0.06028951650003394	0.027	0.039	1	FALSE	Other	-0
ANAPC5	0.00903290116541468	-0.15744339943276142	0.047	0.063	1	FALSE	Other	-0
LDHA	0.00904963506566342	0.01899580471367956	0.579	0.522	1	FALSE	Other	-0
CDCP1	0.00909793694589985	-0.03839652993914018	0.005	0.011	1	FALSE	Other	-0
AATBC	0.00910731493305202	-0.01954887611322076	0.004	0.009	1	FALSE	Other	-0
ANKRD9	0.00911420212388687	-0.03415726726085874	0.014	0.023	1	FALSE	Other	-0
PSMD8	0.00912321010078498	0.01689484239962513	0.306	0.269	1	FALSE	Other	-0
NOB1	0.00915138425932395	-0.00814639066975761	0.063	0.046	1	FALSE	Other	-0
SCAND1	0.00915611937673782	0.0254625248126723	0.396	0.35	1	FALSE	Other	-0
AC026471.1	0.00918578031647759	0.02730059877366019	0.018	0.009	1	FALSE	Other	-0
ME2	0.00919938308880374	-0.0908828478768402	0.05	0.066	1	FALSE	Other	-0
PRPF3	0.00920845847094241	-0.12243696107913964	0.101	0.123	1	FALSE	Other	-0
HIGD2A	0.00924644656093233	0.00116858616196324	0.491	0.436	1	FALSE	Other	-0
AC010976.1	0.00924708374132819	-0.01527518111088786	0.005	0.011	1	FALSE	Other	-0
LNPEP	0.00925705052606044	-0.10618115775184034	0.043	0.058	1	FALSE	Other	-0
AC015871.7	0.00929312777642386	-0.0944186139527834	0.041	0.056	1	FALSE	Other	-0
CDK9	0.00929606108024002	-0.0901553522527315	0.055	0.072	1	FALSE	Other	-0
AC091173.1	0.00930865768327975	-0.01812244585438038	0.041	0.057	1	FALSE	Other	-0
DDX20	0.00932399219657353	-0.08512449540758596	0.018	0.029	1	FALSE	Other	-0
C2orf49	0.00932931796569964	-0.10317070127917116	0.058	0.075	1	FALSE	Other	-0
BCL2L1	0.00933282229941583	0.04290912534340286	0.018	0.009	1	FALSE	Other	-0
SNRNP200	0.00934658485550124	-0.1586355527137271	0.078	0.098	1	FALSE	Other	-0
MRPS18C	0.00934771382048911	-0.12018785330104598	0.111	0.134	1	FALSE	Other	-0
KLHL18	0.00935254613729502	-0.0877323772794279	0.049	0.065	1	FALSE	Other	-0
TIPRL	0.00935665856096608	0.05521828828331843	0.231	0.198	1	FALSE	Other	-0
HRAS	0.00935787394604298	-0.04493639240208286	0.017	0.027	1	FALSE	Other	-0
FYTTD1	0.0093671728912763	-0.15231542315709978	0.091	0.112	1	FALSE	Other	-0
MORN3	0.00938044131285505	-0.0592239034513912	0.007	0.014	1	FALSE	Other	-0
AL356488.2	0.00938323630502774	0.03270323610520008	0.004	0	1	FALSE	Other	-0
FAM171B	0.00938323630502774	0.01648262966464692	0.004	0	1	FALSE	Other	-0
AC093677.2	0.00938323630502774	0.01879927257950821	0.004	0	1	FALSE	Other	-0
RASGRF2	0.00938323630502774	0.02796198069535034	0.004	0	1	FALSE	Other	-0
LINC01537	0.00938323630502774	0.0163900010059968	0.004	0	1	FALSE	Other	-0
RAPGEFL1	0.00938323630502774	0.01609055351399197	0.004	0	1	FALSE	Other	-0
AC006262.2	0.00938323630502774	0.01515047562908052	0.004	0	1	FALSE	Other	-0
AC093821.1	0.00938323630502774	0.01342610868103392	0.004	0	1	FALSE	Other	-0
BARX1	0.00938323630502774	0.01566371959011024	0.004	0	1	FALSE	Other	-0
NAV2-AS3	0.00938323630502774	0.01313031519165651	0.004	0	1	FALSE	Other	-0
CDX2	0.00938323630502774	0.01058184619261353	0.004	0	1	FALSE	Other	-0
HAUS2	0.00939016825964921	-0.0482381812153414	0.022	0.034	1	FALSE	Other	-0
KDM4B	0.00941800470024207	-0.0740913380545822	0.031	0.045	1	FALSE	Other	-0
THEMIS	0.00942999229495314	-0.0681906599985646	0.006	0.013	1	FALSE	Other	-0
MAP4K5	0.00944052062948051	-0.11006450238469272	0.082	0.102	1	FALSE	Other	-0
FBL	0.00948727249512108	-0.03019136785368903	0.203	0.168	1	FALSE	Other	-0
ZNF263	0.00948796252960318	0.03241750953528494	0.016	0.008	1	FALSE	Other	-0
