Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
C14orf119	4.2268265957030105e-34	-0.26118849802552374	0.064	0.142	1.5421576834422434e-29	TRUE	Other	28.811871218018076
AP000787.1	6.4544263722225335e-34	-0.28480032405888256	0.072	0.153	2.3548974619053913e-29	TRUE	Other	28.628027998385686
IER2	6.825907323885063e-34	0.645344057519031	0.497	0.451	2.4904322871194648e-29	TRUE	Other	28.603725261893914
GABARAPL2	8.26356625000583e-34	-0.2540870696168056	0.222	0.354	3.014962146314627e-29	TRUE	Other	28.52071813617719
MFSD10	8.686390279585654e-34	-0.25318374372930386	0.092	0.183	3.169229493506826e-29	TRUE	Other	28.499046311092144
S100A8	8.77096993635389e-34	0.5617973833878523	0.117	0.056	3.2000883812787167e-29	TRUE	Other	28.494838027001467
YWHAZ	1.1046950197648063e-33	0.33097161164795086	0.744	0.76	4.030479779611896e-29	TRUE	Other	28.394643253304103
RNF149	1.571072100970873e-33	-0.2560605040020436	0.16	0.274	5.732056560392231e-29	TRUE	Other	28.24168953290396
ID2	2.7901257906961915e-33	0.64600356408236	0.218	0.139	1.0179773947355054e-28	TRUE	Other	27.992261865860392
EIF2AK2	3.864567013476434e-33	-0.3031144763754351	0.123	0.221	1.409987274866877e-28	TRUE	Other	27.850784806834007
STK4	4.1183368791552645e-33	-0.24577340720407023	0.503	0.666	1.5025752103597982e-28	FALSE	Other	27.82316378047214
KDELR2	5.909662953262629e-33	-0.2671605214305721	0.154	0.264	2.1561405284978702e-28	TRUE	Other	27.666322937009294
NCOR1	6.1141775474864424e-33	-0.26570620938933076	0.19	0.309	2.2307576782004286e-28	TRUE	Other	27.651547603510927
IRF2	6.911646038585943e-33	-0.26438383337604665	0.151	0.26	2.521714057178081e-28	TRUE	Other	27.598304160598047
CCNI	7.561780340161237e-33	-0.22212831807545985	0.619	0.766	2.758915557107827e-28	FALSE	Other	27.559261591888824
KMT2A	7.58962579666056e-33	-0.2339992615366893	0.285	0.427	2.7690749719116048e-28	FALSE	Other	27.55766528569656
NR4A2	7.658714968330649e-33	0.5581458732530111	0.171	0.096	2.794282156195438e-28	TRUE	Other	27.553729742569818
PARP1	8.368056659632758e-33	-0.2587111819309237	0.108	0.202	3.053085472267011e-28	TRUE	Other	27.515261037295076
CCL4	9.442819522750034e-33	0.7749093607188846	0.328	0.26	3.44521270287535e-28	TRUE	Other	27.46278396016175
ABRACL	9.812575451069674e-33	-0.2585905177432397	0.225	0.353	3.5801181533227707e-28	TRUE	Other	27.44610264025854
CNPY4	1.1938207948902852e-32	-0.23024986214984097	0.031	0.091	4.355655170157206e-28	FALSE	Other	27.36094650991392
TCAF1	1.5323423748250648e-32	-0.2435042305917003	0.016	0.066	5.59075115454925e-28	FALSE	Other	27.252529837845284
MYB	1.6869247712240807e-32	-0.27252698331350406	0.011	0.056	6.154745027811058e-28	TRUE	Other	27.210789933846936
PARP4	1.8669262162448278e-32	-0.24825268027918085	0.048	0.117	6.8114802999692545e-28	FALSE	Other	27.166758495099582
GABPB1-AS1	2.556126050495248e-32	-0.29034908624737565	0.134	0.233	9.326025895231912e-28	TRUE	Other	27.030303382990393
TMEM123	2.648237783623808e-32	-0.2689612033392139	0.398	0.549	9.662095553551463e-28	TRUE	Other	27.01492867186141
ERP29	2.698985404685786e-32	-0.23664930336987888	0.456	0.619	9.84724824899609e-28	FALSE	Other	27.00668511338446
ARPC1B	2.7123072962657927e-32	-0.24722787479091313	0.43	0.588	9.895853170425746e-28	FALSE	Other	27.00454675716905
PACS1	3.1792590977545205e-32	-0.25689211735288264	0.097	0.186	1.1599526818157368e-27	TRUE	Other	26.935559726674345
AC253572.2	3.477309732867607e-32	0.8455045655658131	0.18	0.109	1.2686964560367463e-27	TRUE	Other	26.89664227328535
KRTCAP2	4.093507295553713e-32	-0.2346795791251166	0.412	0.573	1.4935161367827722e-27	FALSE	Other	26.82579008067428
OST4	4.7095834183457087e-32	-0.20916405036104105	0.657	0.806	1.718291510183432e-27	FALSE	Other	26.764903155682628
NINJ1	5.340441205681678e-32	0.5384377984836087	0.189	0.116	1.94845997389296e-27	TRUE	Other	26.710308511244637
PA2G4	7.928025231504197e-32	-0.25062122047458324	0.384	0.538	2.8925400057143062e-27	TRUE	Other	26.538720625758817
PLEKHO1	1.3611984352125204e-31	-0.23549303143071	0.18	0.295	4.966332490872881e-27	FALSE	Other	26.30396420823744
BRD7	1.4322493446682048e-31	-0.2433088399870138	0.219	0.346	5.225561734021945e-27	FALSE	Other	26.28186701720291
AC103591.3	2.2052043034466525e-31	0.662922443246327	0.178	0.106	8.045687901125111e-27	TRUE	Other	26.094436818079455
SLF2	2.3481604966642414e-31	-0.2402493393548017	0.033	0.093	8.567263572079485e-27	FALSE	Other	26.067157871812952
TMOD2	2.425209445830174e-31	-0.23845737881971163	0.031	0.089	8.84837666311139e-27	FALSE	Other	26.05313639833266
PPP1R2	2.6605254474430665e-31	-0.2534262020392888	0.348	0.496	9.706927094996027e-27	TRUE	Other	26.012918232182805
CD46	3.036653591721731e-31	-0.2276887513108168	0.173	0.286	1.1079230629396733e-26	FALSE	Other	25.95549039709936
TLN1	3.407084726913167e-31	-0.22872716148008057	0.244	0.375	1.243074862614269e-26	FALSE	Other	25.90550271573386
C19orf53	3.806251998838494e-31	-0.23080740653995105	0.479	0.645	1.3887110417762246e-26	FALSE	Other	25.857388111366237
GADD45B	4.875435192366312e-31	0.6040947067040234	0.371	0.303	1.778802529934849e-26	TRUE	Other	25.74987226153929
M6PR	5.486353695526199e-31	-0.22230159719630405	0.141	0.244	2.0016961458127336e-26	FALSE	Other	25.69860184704259
RAB10	6.363515139528926e-31	-0.2432591355576749	0.093	0.179	2.3217284986571286e-26	FALSE	Other	25.634188567727943
ORMDL1	6.855357625062492e-31	-0.2300934608023455	0.261	0.399	2.50117722950405e-26	FALSE	Other	25.601855533751866
TUT4	8.188150805123279e-31	-0.23048512157315004	0.306	0.448	2.9874468212492287e-26	FALSE	Other	25.524699816736213
ALOX5AP	8.790422324740613e-31	-0.34040267172581773	0.199	0.309	3.2071855851816127e-26	TRUE	Other	25.493875908706322
ZEB2	9.281783630871453e-31	0.7323809925587754	0.131	0.07	3.3864587577234497e-26	TRUE	Other	25.47025420911777
CLDND1	9.958256696007626e-31	-0.25888392408646643	0.21	0.328	3.6332699555383823e-26	TRUE	Other	25.43970233243042
LARS	1.605452408580038e-30	-0.2608888108465497	0.112	0.202	5.857493112704268e-26	TRUE	Other	25.232288213378254
LEF1	1.6815640656703015e-30	-0.2221243637623138	0.193	0.31	6.135186493598095e-26	FALSE	Other	25.212172231321727
SELENOH	1.9579041340445946e-30	-0.22612575823903416	0.265	0.399	7.143413233061702e-26	FALSE	Other	25.146094226027287
