gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TIMM44	1.6808333502007637	-0.40876359413713625	4.053764365468621	-0.10083555857837401	0.9196809990234145	0.9997946887506981
ELAVL1	7.711439444501836	1.218441240503353	1.857805438524269	0.6558497543592136	0.5119207998622569	0.9997946887506981
CERS4	0.4523850880692408	-2.1398186722495995	5.815416396004535	-0.36795622643973624	0.7129058740644727	0.9997946887506981
CD320	0.4523850880692408	-2.1398186722495995	5.815416396004535	-0.36795622643973624	0.7129058740644727	0.9997946887506981
NDUFA7	2.811796070373866	-1.811310132945492	3.237845112516882	-0.5594184002018249	0.5758762066088531	0.9997946887506981
RAB11B	10.241128224627587	-0.06115495280125584	1.5980132041711366	-0.0382693663867289	0.9694729149687227	0.9997946887506981
MARCH2	74.21657482199987	0.08464894539702703	0.6691893604366816	0.12649475679318795	0.8993402991827829	0.9997946887506981
HNRNPM	16.514804372612495	-0.45064833357205203	1.3051133489953517	-0.3452944021444202	0.7298730546264016	0.9997946887506981
ZNF414	1.228448262131523	1.1700648833498712	4.715840844748195	0.24811373451097618	0.8040464092128081	0.9997946887506981
MYO1F	1.9226366242942736	-4.227263184969432	4.184029823345353	-1.010332947767928	0.3123358008566646	0.9997946887506981
ZNF317	0.565481360086551	-2.461729347823916	5.806463830888161	-0.42396360668406474	0.6715923548938857	0.9997946887506981
ZNF699	1.3415445341488332	0.5867217425049227	4.505495435654111	0.1302235793786221	0.8963895397778354	0.9997946887506981
ZNF559	1.9070258942353842	-0.8210220920419994	3.8310362190508416	-0.21430809971444534	0.8303068021117368	0.9997946887506981
ZNF426	1.5820810286520188	0.8494421555925132	4.212346355841119	0.20165534451235717	0.8401861752384419	0.9997946887506981
ZNF121	0.33928881605193056	-1.7248037595163725	5.830306607740881	-0.29583414313517503	0.767356746971248	0.9997946887506981
ZNF561	0.33928881605193056	-1.7248037595163725	5.830306607740881	-0.29583414313517503	0.767356746971248	0.9997946887506981
ZNF561-AS1	1.7439200716485395	5.381007134423731	4.356569517361392	1.2351477723424007	0.2167755126874338	0.9997946887506981
ZNF562	0.4523850880692408	-2.1398186722495995	5.815416396004535	-0.36795622643973624	0.7129058740644727	0.9997946887506981
FBXL12	1.5820810286520188	0.8494421555925132	4.212346355841119	0.20165534451235717	0.8401861752384419	0.9997946887506981
UBL5	41.67768362719531	0.1506069590999062	0.8533947251690022	0.17647983360815914	0.8599169904769717	0.9997946887506981
PIN1	11.969437566217238	0.9288530476229678	1.4835648016609806	0.6260953660959303	0.5312523914722466	0.9997946887506981
SHFL	1.696444080259653	-4.0466845331776495	4.420627815188593	-0.9154094627179126	0.3599767125369653	0.9997946887506981
PPAN	1.5261662824385258	-1.6074328012488859	4.288803027928417	-0.3747975345991374	0.7078110479511444	0.9997946887506981
EIF3G	21.262314238158876	-0.5499535793326078	1.1926945963695892	-0.4611017615126258	0.6447255980055706	0.9997946887506981
DNMT1	5.1439802074021275	-1.8555412640194526	2.5024722928174823	-0.7414832401322361	0.45840049007397904	0.9997946887506981
MRPL4	2.1332184382700046	-1.1403279821089196	3.646755219725867	-0.3126966065451029	0.7545111739621673	0.9997946887506981
ZGLP1	11.736073046948336	0.9804349752031608	1.4987542765307238	0.6541665905852462	0.5130044834293896	0.9997946887506981
FDX2	0.33928881605193056	-1.7248037595163725	5.830306607740881	-0.29583414313517503	0.767356746971248	0.9997946887506981
RAVER1	1.3415445341488332	0.5867217425049227	4.505495435654111	0.1302235793786221	0.8963895397778354	0.9997946887506981
ICAM3	8.601865670171753	0.2965654721511051	1.7333560534169197	0.1710932220569994	0.8641504653075837	0.9997946887506981
TYK2	0.4523850880692408	-2.1398186722495995	5.815416396004535	-0.36795622643973624	0.7129058740644727	0.9997946887506981
CDC37	30.4516267192618	0.37537016583627497	0.9485542719549112	0.39572871783357266	0.6923051675642057	0.9997946887506981
PDE4A	0.4523850880692408	-2.1398186722495995	5.815416396004535	-0.36795622643973624	0.7129058740644727	0.9997946887506981
KEAP1	0.33928881605193056	-1.7248037595163725	5.830306607740881	-0.29583414313517503	0.767356746971248	0.9997946887506981
S1PR5	0.565481360086551	-2.461729347823916	5.806463830888161	-0.42396360668406474	0.6715923548938857	0.9997946887506981
ATG4D	5.409209988001028	1.7885511164253605	2.243979574893241	0.7970442941801072	0.425425306924574	0.9997946887506981
KRI1	1.186877466386595	-0.9203219328362287	4.782354274424136	-0.19244118691876894	0.8473966327740082	0.9997946887506981
CDKN2D	82.58952011288592	0.1938231521111373	0.6678640029031682	0.29021350345070057	0.7716529062983895	0.9997946887506981
AP1M2	0.9047701761384817	-3.139764952564937	5.793008835517233	-0.5419920876548432	0.587823956632119	0.9997946887506981
SLC44A2	13.631482825966247	0.05451096553449544	1.4160392553539662	0.038495377390416606	0.9692927170619515	0.9997946887506981
ILF3-DT	4.067665453852195	2.4400316697997986	2.885054081761602	0.845749022600618	0.3976927690920569	0.9997946887506981
